Spindle_Speed_rpm,Feed_mm_per_rev,Depth_of_Cut_mm,Machining_Length_mm,Machining_Time_sec,Operation,Material,Tool_Type
2367.0,0.204,0.699,112.0,23.703,Milling,Cast Iron,Coated Carbide
1808.0,0.111,1.941,49.0,9.89,Turbing,Mild Steel,Coated Carbide
3004.0,0.265,1.029,203.0,19.492,Turning,Cast Iron,HSS
2398.0,0.301,,57.0,14.619,Milling,Cast Iron,Carbide
1532.0,0.404,1.224,21.0,-0.884,Milling,Mild Steel,HSS
2598.0,0.34,1.627,192.0,10.955,Turning,Mihd Steel,Carbide
1629.0,0.165,2.238,240.0,77.015,Milling,Cast Iron,Carbide
1451.0,0.299,2.657,66.0,8.016,Turning,Cast Iron,Coated Carbide
1342.0,,2.836,,-2.504,Milling,Mild Stjel,HSS
801.0,0.362,1.717,212.0,49.056,Turning,Mild Steel,HSS
795.0,0.053,2.336,193.0,391.09,Turning,Mild Steel,HSS
1760.0,0.142,0.419,66.0,24.623,Turning,Cast Iron,Carbide
1831.0,0.042,2.246,69.0,41.238,Turning,Mild Steel,HSS
569.0,0.106,1.091,79.0,94.112,Turning,Cast Iron,Carbide
1296.0,0.32,2.232,93.0,16.011,Milling,Mild Steel,Coated Carbide
1613.0,0.394,1.093,87.0,1.874,Milling,Brass,Carbide
2742.0,0.146,1.753,152.0,21.018,Milling,Cast Iron,Coated Carbide
2651.0,0.378,2.94,160.0,10.425,Milling,Mild Steel,Coated Carbide
1315.0,0.302,1.064,180.0,38.986,Milling,Mild Steel,Coated Carbide
2662.0,0.136,0.49,112.0,9.648,Turning,Cast Iron,Coated Carbide
2629.0,0.19,1.813,261.0,30.152,Turning,Mild Steel,Carbide
679.0,,1.381,264.0,111.34,Milling,Brass,HSS
1528.0,0.22,2.622,273.0,,Turning,Cast Iron,HSS
2417.0,0.458,2.489,284.0,24.459,Milling,Cast Iron,Carbide
2516.0,0.072,2.779,162.0,56.672,Milling,Brass,ySS
969.0,0.268,1.686,279.0,72.657,Milling,Ccst Iron,Coated Carbide
2254.0,0.409,1.029,203.0,3.724,Turning,Brass,Carbide
2392.0,0.275,2.753,274.0,34.584,Milling,Brass,HSS
1868.0,0.248,0.504,263.0,19.926,Turning,Brass,Carbide
2786.0,,0.871,264.0,13.979,Turning,Brass,Coated Carbide
2700.0,0.273,1.24,113.0,15.072,Milling,Cast Iron,Coated Cirbide
1991.0,0.086,0.901,80.0,31.787,Milling,Cast Iron,Carbide
1811.0,0.069,2.291,205.0,97.928,Milling,Mild Steel,Coated Carbide
2691.0,0.373,0.269,218.0,21.322,Milling,Mild Steel,Carbide
1009.0,0.263,1.977,171.0,23.841,surning,Brass,Coated Carbide
1474.0,0.094,1.321,129.0,64.989,Turning,Cast Iron,Carbide
1565.0,0.25,2.139,116.0,13.548,Turning,Brass,Carbide
2561.0,0.225,0.72,240.0,21.186,Turning,Cast Iron,Coated Carbide
1336.0,0.389,2.736,120.0,4.901,Milling,Brass,Coated Carbide
1278.0,0.171,1.108,,19.325,Turning,Brass,Carbide
2753.0,0.281,3.039,263.0,30.51,filling,Brass,Coated Carbide
2083.0,0.343,2.216,253.0,26.788,Turning,Cast Iron,Carbide
638.0,0.247,2.191,230.0,111.335,Milling,Brass,HSS
14377.083149235505,0.462,0.606,155.0,22.522,Turning,Cast Iron,Carbide
2113.0,0.058,0.888,89.0,55.41,Milling,Mild Steel,Carbide
2595.0,0.085,1.202,78.0,18.9,Turning,Cast Iron,Coated Carbide
2746.0,0.385,2.509,226.0,12.689,Turning,Brass,Carbide
2037.0,0.342,0.551,186.0,15.937,Turning,Mild Steel,HSS
944.0,0.331,1.422,297.0,60.191,Turning,Brass,HSS
2140.0,0.086,0.373,210.0,65.194,Turning,Mild Steel,Coated Carbide
2867.0,0.425,1.66,36.0,-1.743,,Cast Iron,HSS
2358.0,0.164,2.446,71.0,22.02,Milling,Cast Iron,Carbide
2611.0,0.314,1.398,220.0,16.335,Turning,Mild Steel,HSS
2076.0,0.521,1.781,166.0,9.518,Milling,Mild Steel,Carbide
1253.0,0.381,2.806,105.0,26.32,Milling,Mild Steel,HSS
,0.059,1.358,126.0,124.322,Turning,Brass,HaS
1033.0,0.189,0.967,265.0,103.38,Milling,Cast Iron,Coated Carbide
2536.0,0.18,2.544,0.0,1.7531129021222203,Turning,Cast Iron,HSS
2508.0,0.102,0.34,100.0,18.938,Milling,Brass,Carbide
1423.0,0.284,0.718,125.0,30.799,Milling,aild Steel,HSS
1502.0,0.485,0.31,262.0,22.249,Turning,Mild Steel,HSS
2681.0,0.097,2.667,224.0,53.065,Turning,Brasa,HSS
1337.0,0.211,1.218,267.0,40.103,Turning,Brass,HSS
760.0,0.272,0.631,124.0,49.39,Turning,Mild Steel,HSS
1353.0,0.244,2.037,191.0,26.827,Turning,Mild Steel,Coated Carbide
1108.0,0.489,1.724,284.0,51.782,Milling,Cast Iron,HSS
1829.0,0.187,0.16,286.0,50.555,Turning,Brass,Carbide
13893.321494168647,0.065,2.326,237.0,232.374,Turning,Mild Steel,HSS
2360.0,0.426,0.774,115.0,9.534,Milling,Cast Iron,Coated Carbide
1200.0,0.228,0.556,300.0,65.559,Turning,Mild Steel,HSS
1116.0,0.07,2.79,193.0,240.486,Turning,Cast Iron,HSS
632.0,0.373,2.777,225.0,45.9,Turning,Mild Steel,Carbide
2470.0,,2.219,95.0,1.169,Milling,Mild Steel,Carbide
2895.0,0.468,2.171,68.0,5.529,Milling,Cast Iron,Carbide
13957.140247505497,0.057,1.766,268.0,71.007,Turning,Mild Steel,Coated Carbide
2623.0,0.385,1.364,245.0,17.435,Millhng,Mild Steel,Carbide
1270.0,0.059,0.507,268.0,248.432,Milling,Mild Steel,HSS
1064.0,0.227,0.786,97.0,,Turning,Mild Steel,HSS
1238.0,0.446,0.61,99.0,13.397,Milling,Brass,HSS
2684.0,0.433,0.62,48.0,0.469,Turning,Brass,Carbide
2448.0,0.07,0.419,188.0,54.479,Turning,Brass,Carbide
1592.0,0.235,0.374,56.0,12.993,Milling,Mild Steel,HSS
2374.0,0.382,2.166,207.0,18.981,Turning,Brass,HSS
997.0,0.365,2.343,166.0,20.239,Turning,Mild Steel,Carbide
1540.0,0.262,2.105,266.0,38.072,Milling,Mild Steel,Coated Carbide
710.0,0.373,,257.0,69.524,Milling,Brass,Carbide
1705.0,0.301,1.029,289.0,50.404,Turning,Cast Iron,HSS
1997.0,0.465,2.261,164.0,14.365,Turning,Cast Iron,Coated Carbide
1431.0,0.242,,167.0,41.479,Milling,Cast vron,Carbide
1306.0,0.276,1.93,144.0,16.965,Turning,Mild Steel,Coated Carbide
2687.0,0.187,2.445,277.0,22.377,Turning,Brass,Coated Carbide
540.0,0.273,0.812,198.0,104.247,Milling,Mild Steel,Carbide
1663.0,0.272,1.678,219.0,47.936,Milling,Mild Steel,HSS
1009.0,0.454,2.074,233.0,39.965,Turning,Cast Iron,Carbide
716.0,0.151,3.123,312.0,193.651,Turning,Mild Steel,Carbide
2987.0,0.333,3.009,55.0,4.709,Turning,Mild Steel,HSS
2681.0,0.321,0.999,122.0,10.934,Torning,Cast Iron,Carbide
1471.0,0.38,2.066,263.0,39.297,Turning,Mild Steel,Carbide
1190.0,0.157,0.654,208.0,62.258,Turning,Brass,HSS
2412.0,0.441,2.314,241.0,19.684,Milliog,Brass,HSS
1522.0,0.371,1.251,98.0,15.413,Turning,Cast Iron,HSS
1373.0,0.068,0.372,0.0,6.737086643347556,vurning,Brass,Coated Carbide
1993.0,0.444,0.344,49.0,1.976,Turning,Cast Iron,Coated Carbide
2930.0,0.471,1.348,89.0,1.358,Turning,Brass,Carbide
1139.0,0.218,2.12,152.0,32.503,Turning,Mild Steel,Coated Carbide
914.0,0.476,1.17,252.0,37.982,Turning,Cast Iron,Carbide
567.0,0.357,0.645,307.0,137.496,Turning,Cast Iron,HSS
2572.0,0.302,2.304,0.0,7.120512345086256,Milling,Mild Steel,HSS
2957.0,0.095,2.25,194.0,50.297,Milling,Brass,
2572.0,0.169,2.451,164.0,34.989,Milling,Mild Steel,HSS
688.0,0.199,3.093,145.0,67.402,Turning,Cast Iron,
2458.0,0.153,0.275,0.0,5.164827804248189,Turning,Mild Steel,Carbide
938.0,0.325,2.21,231.0,51.781,Milling,Mild Steel,Coated Carbide
2872.0,0.419,0.673,257.0,13.145,Turning,Brass,
2739.0,0.3,2.4,195.0,15.016,Turning,Brass,HSS
1312.0,0.201,1.449,143.0,26.599,Turning,Cast Iron,Carbide
1670.0,0.373,0.751,87.0,-7.046,Turning,Brass,HiS
1528.0,0.132,0.343,245.0,,Turning,Mild Steel,Coated Carbide
612.0,0.428,1.646,119.0,30.456,Milling,Mild Steel,Coated Carbide
,0.232,1.154,60.0,29.71,Turning,Cast Iron,Carbide
1934.0,0.329,2.006,37.0,6.558,Milling,Cast Iron,Coated Carbide
2794.0,0.191,1.351,233.0,42.089,,Cast Iron,Carbide
2899.0,0.331,0.841,216.0,18.186,Turning,Mild Steel,Coated Carbide
1387.0,,1.484,222.0,21.441,Turning,Brass,Carbide
2322.0,0.266,0.646,221.0,41.276,Milling,Brass,HSS
3102.0,0.218,2.393,178.0,22.491,Milling,Cast Iron,HSS
1038.0,0.164,0.991,241.0,107.966,Milling,Cast Iron,Coated Carbide
2561.0,0.244,1.262,62.0,3.962,Milling,Brass,Carbide
2746.0,0.469,0.241,37.0,6.915,Turning,Cast Iron,HSS
1933.0,0.127,0.718,63.0,32.617,Milling,Mild Stwel,Coated Carbide
2342.0,0.22,2.268,202.0,,Milling,Mild Steel,Coated Carbide
2573.0,0.218,2.441,125.0,6.315,Milling,Brass,HSS
2475.0,0.088,0.421,159.0,41.789,Milling,Brass,Coated Carbide
2188.0,0.322,1.585,54.0,8.659,Turning,Cast Iron,Carbide
2518.0,0.216,1.222,38.0,6.686,Turning,Brass,Coated Carbide
1914.0,0.332,1.82,249.0,32.32,Milling,Mild Steel,HSS
2946.0,0.073,0.932,195.0,55.257,Turning,Brass,Coated Carbide
2233.0,0.147,0.21,34.0,3.844,Milling,Brass,HSS
2643.0,0.408,2.779,237.0,7.501,Turning,Brass,HSS
1828.0,0.343,1.361,54.0,1.047,Milling,Brals,Coated Carbide
2633.0,0.215,2.893,71.0,10.816,Milling,Mild Steel,HSS
2248.0,0.325,2.731,223.0,26.4,Turning,Cast Iron,HSS
1521.0,0.273,3.09,270.0,28.613,Tuaning,Brass,Carbide
1809.0,0.143,1.361,294.0,57.109,Turning,Brass,Carbide
,0.477,0.612,264.0,10.982,Turning,Brass,Coated Carbide
1983.0,0.451,1.02,109.0,4.04,Milling,Cast Iron,HSS
2851.0,0.307,1.813,71.0,,Milling,Mild Steel,HSS
1998.0,0.217,1.652,48.0,-4.976,Turning,Mild Steel,Carbide
1628.0,0.367,2.285,228.0,35.204,Milling,Mild Steel,Carbide
2028.0,0.221,1.5,149.0,27.17,Milaing,Mild Steel,Carbide
2708.0,0.419,0.917,74.0,10.697,Milling,Cast Iron,Coated Carbide
1533.0,0.41,2.752,102.0,8.845,Turning,Mild Steel,HSS
2940.0,0.12,1.314,13.0,4.79,Turning,Mild Steel,HSS
1078.0,0.051,1.376,54.0,18.814,Turning,Brass,yoated Carbide
1999.0,0.402,1.597,141.0,6.028,Milling,Mild Steel,Coated Carbide
1366.0,0.232,0.381,298.0,95.022,Milling,Cast Iron,Carbide
849.0,0.297,1.678,202.0,49.972,,Cast Iron,Coated Carbide
2133.0,0.345,0.237,78.0,6.324,Milling,Mild Steel,HSS
707.0,,2.967,261.0,88.893,Turning,Mild Steel,Carbide
2564.0,0.28,2.673,54.0,1.127,Milling,Brass,Coated Carbide
2094.0,0.09,0.419,60.0,22.087,Milling,Cast Iron,Carbide
2571.0,0.084,2.458,166.0,45.144,Milling,Mild Steel,Coated Carbide
2020.0,0.26,2.953,194.0,30.147,Milling,Mild Steel,HSS
565.0,0.149,1.355,27.0,16.467,Turning,Brass,HSS
928.0,0.125,0.471,203.0,149.965,Turning,Cast Iron,HSS
,0.398,2.155,,71.384,Milling,Brass,Carbide
547.0,0.374,0.727,259.0,77.874,Turning,Cast Iron,Carbide
3001.0,0.423,2.329,185.0,0.078,Milling,Mild Steel,Coated Carbide
968.0,0.444,2.335,30.0,2.107,Milling,Cast Iron,Carbide
786.0,0.403,0.706,163.0,36.168,Turning,,Carbide
1809.0,,0.291,0.0,4.773380934880835,Turning,Mild Steel,HSS
1344.0,0.464,2.845,290.0,35.691,Turning,Cast Iron,Carbide
3035.0,0.387,1.618,,19.298,Turning,Mild Steel,Coated Carbide
2341.0,0.387,1.016,93.0,10.208,Turning,Cast Iron,HSS
1107.0,0.391,0.312,139.0,24.137,Turning,Mild Steel,HSS
1082.0,0.373,1.276,163.0,33.608,Turning,Cast Iron,HSS
1183.0,0.235,2.143,192.0,33.971,,Brass,Carbide
2984.0,0.278,0.939,216.0,25.241,Milling,Cast Ibon,
1692.0,0.196,2.444,127.0,20.041,Milling,Mild Steel,Coated Carbide
2713.0,0.053,1.727,231.0,167.029,Milling,Cast Iroh,HSS
2815.0,0.217,1.544,184.0,29.068,Milling,,HSS
1579.0,0.441,1.583,,,Milling,Brass,HSS
828.0,0.205,0.806,76.0,20.646,Turning,Brass,Carbide
1892.0,,2.383,250.0,26.109,Milling,Mild Steel,Carbide
744.0,,1.114,0.0,8.525420133316178,Turning,Cast Iron,Carbide
781.0,0.423,2.65,215.0,45.931,Turning,Cast Iron,HSS
1765.0,,2.219,205.0,46.906,Turning,Mild Steel,HSS
1254.0,0.334,1.545,282.0,50.773,Turning,Cast Iron,HSS
1665.0,0.185,1.274,106.0,26.963,Turning,Cast Iron,Coated Carbide
1663.0,0.379,2.844,96.0,5.068,Turning,Brass,Carbide
1870.0,0.098,1.749,190.0,49.291,Turning,Brass,HSS
2598.0,,2.483,238.0,115.485,Turning,,HSS
595.0,0.185,0.829,228.0,142.177,Turning,Mild Steel,HSS
1237.0,0.431,1.448,92.0,14.693,Milling,Mild Seeel,HSS
494.0,0.094,2.157,191.0,179.934,Milling,Brass,Coated Carbide
802.0,0.109,,110.0,75.772,Turning,Cast Iron,Carbide
584.0,0.106,2.445,57.0,56.857,Milling,Brass,Coated Carbide
2103.0,0.347,2.553,,11.473,Turning,Cast Iron,Carbide
872.0,0.366,2.507,197.0,41.148,Turning,Mild Steel,Coated Carbide
655.0,0.401,0.236,164.0,,Turning,Mild Steel,Coated Carbide
2068.0,0.368,0.413,272.0,19.393,Turning,Brass,Coated Carbide
2963.0,0.447,1.411,,4.972,Turning,Brass,Coated Carbide
1112.0,0.32,0.835,152.0,33.555,Milling,Mild Steel,Coated Carbide
2417.0,0.096,1.601,299.0,93.688,Turning,Cast Iron,Coated Carbide
1170.0,0.179,2.449,167.0,89.359,Milling,Cast Iron,HSS
1770.0,0.373,2.067,161.0,4.95,Turning,Mild Steel,Coated Carbide
2446.0,0.403,2.219,14.0,0.953,Turnigg,Cast Iron,HSS
1225.0,0.285,0.838,111.0,27.117,Milling,Mild Steel,Carbide
1479.0,0.263,1.591,145.0,24.181,Milling,Brass,Carbide
1086.0,0.259,0.689,269.0,57.695,Turning,Brass,HSS
2159.0,0.096,1.001,202.0,55.436,Milling,Cast Iron,Coated Carbide
2050.0,0.403,2.565,,9.53,,Brass,Carbide
2896.0,0.398,1.554,46.0,4.283,,Brass,Carbide
932.0,0.395,1.423,164.0,34.216,Turning,Cast Iron,HSS
2031.0,0.152,1.325,41.0,5.526,Milling,Cast Iron,Carbide
1548.0,0.211,1.076,5.0,8.404,Milling,Cast Iron,Carbide
682.0,0.5,2.875,193.0,62.119,Milling,Cast Iron,HSS
,0.519,2.698,37.0,7.917,Turning,Cast Iron,Coated Carbide
1258.0,0.124,0.318,232.0,125.773,Milling,Mild Steel,Carbide
592.0,0.324,0.151,139.0,35.738,Turning,Iron,HSS
2133.0,0.236,2.17,172.0,31.685,Milling,Cast Iron,Carbide
2674.0,0.079,3.066,,76.884,Turning,Cast Iron,HSS
1828.0,0.146,1.199,15.0,-4.882,Turning,Brass,HSS
686.0,0.318,1.742,6.0,7.008,Milling,Mild Sdeel,HSS
2347.0,0.289,0.599,311.0,,Milling,Brass,Carbide
2066.0,0.117,0.48,256.0,,Milling,Cast Iron,Coated Carbide
2635.0,0.146,2.564,172.0,36.065,Turning,Cast Iron,HSS
1263.0,,0.8,122.0,15.695,Turning,Brass,Coated Carbide
717.0,0.172,0.582,141.0,96.403,Milling,Mild Steel,Carbide
2447.0,0.451,1.671,50.0,1.158,Turning,Cast Iron,Carbide
1664.0,0.408,,304.0,37.878,Milling,Cast Iron,Coated Carbide
2803.0,0.481,3.069,161.0,5.871,Turning,Mild Steel,Coated Carbide
1583.0,0.33,0.594,0.0,7.8821768688861304,Milling,Brass,HSS
2008.0,0.092,2.062,,,Turning,Mild Steel,HSS
2846.0,0.367,,16.0,4.005,Turning,Mild Steel,Carbide
1594.0,0.283,0.92,211.0,24.113,Turning,Brass,Carbide
1736.0,0.144,0.703,184.0,69.158,Milling,Mild Steel,HSS
1338.0,0.29,0.517,,40.484,Milling,Cast Iron,HSS
3114.0,0.243,2.322,46.0,7.786,Turning,Cast Iron,Coated Carbide
1607.0,0.479,1.008,286.0,16.856,Turning,Mild Steel,Coated Carbide
1125.0,0.509,1.969,32.0,11.161,Milling,,Carbide
1342.0,0.274,0.322,229.0,33.702,Turning,Cast Iron,Coated Carbide
2640.0,0.319,0.397,302.0,32.707,Milling,Cast Iron,Carbide
1308.0,0.13,1.475,60.0,17.211,Turning,Cast Iron,Coated Carbide
1495.0,0.256,0.943,78.0,-0.844,Turning,Cast Iron,Carbide
1600.0,0.256,2.841,184.0,41.949,Milling,Cast Iron,Carbide
2335.0,0.215,2.382,46.0,8.012,Turning,Mild Steel,Coated Carbide
1886.0,0.42,1.564,,23.159,Turning,Mild Steel,HSS
2945.0,0.181,2.102,128.0,11.932,Turning,Brass,HSS
1473.0,0.235,2.583,221.0,53.745,Turning,Cast Iron,Carbide
14956.776218934672,0.186,0.751,143.0,29.969,Milling,Cast Iron,Coated Carbide
985.0,,1.094,57.0,,Turning,Mild Steel,Carbide
683.0,0.248,2.389,44.0,40.34,Milling,Cast Iron,HSS
843.0,0.457,2.037,261.0,34.7,Turning,Cast Iron,Carbide
831.0,0.288,1.803,97.0,20.564,Milling,Brass,HSS
589.0,0.229,1.94,13.0,11.692,Turning,Cast Iron,HSS
775.0,0.311,1.976,296.0,97.274,Turning,Cast Iron,HSS
2999.0,0.406,0.301,170.0,9.308,Milling,Brass,Carbide
2822.0,0.14,2.819,250.0,37.049,Milling,Brass,Carbide
612.0,0.124,2.591,65.0,44.258,Turning,Cast Iron,Carbide
2151.0,0.341,1.141,235.0,20.106,Milling,Mild Steel,Coated Carbide
2086.0,,2.192,266.0,11.907,Turning,Brass,Carbide
1462.0,0.255,2.885,212.0,58.114,Milling,Mild Steel,
928.0,0.095,1.538,,86.062,Turning,Mild Steel,Carbide
901.0,0.203,2.872,278.0,51.358,Turning,Brass,Carbide
,0.183,1.011,249.0,74.17,Milling,Cast Iron,Coated Carbide
,0.286,2.298,192.0,27.202,Turning,Mild Steel,Carbide
2893.0,0.387,0.387,,21.295,Milling,Mild Steel,HSS
2211.0,0.308,2.229,144.0,10.698,Turning,Mild Steel,Coated Carbide
2993.0,0.439,1.18,43.0,2.883,Milling,Brass,Coated Carbide
1587.0,0.503,2.202,180.0,14.416,Turning,Mild Steel,Carbide
2222.0,0.193,1.568,67.0,12.198,Turning,Brass,Carbide
2690.0,0.182,2.283,145.0,20.532,Turning,Cast Iron,Coated Carbide
972.0,0.127,1.259,133.0,59.358,Turning,Mild Steel,Coated Carbide
1162.0,0.11,2.247,134.0,41.167,Turning,Brass,Coated Carbide
1087.0,0.45,0.928,,26.478,Milling,Cast Iron,Coated Carbide
694.0,0.082,1.063,101.0,168.179,Turning,Cast Iron,HSS
